age,gender,size,coat,distance,spayed_neutered,house_trained,declawed,special_needs,shots_current,breed_primary,breed_secondary,breed_mixed,breed_unknown,color_primary,color_secondary,color_tertiary,goodwith_children,goodwith_dogs,goodwith_cats,hasimage,hasvideo,duration_as_adoptable,city,population
Baby,Male,Medium,Medium,7.5018,False,False,False,False,True,Domestic Medium Hair,none,False,False,Tabby (Gray / Blue / Silver),none,none,unknown,unknown,unknown,True,False,2.5847337962962964,Puyallup,38720.0
Baby,Male,Medium,Medium,7.5018,False,False,False,False,True,Domestic Medium Hair,none,False,False,Tabby (Gray / Blue / Silver),none,none,unknown,unknown,unknown,True,False,10.626967592592592,Puyallup,38720.0
Young,Female,Medium,Short,7.5018,False,False,False,False,True,Domestic Short Hair,none,False,False,Black,none,none,unknown,unknown,unknown,True,False,30.9675,Puyallup,38720.0
Adult,Female,Medium,Short,7.5018,False,False,False,False,True,Domestic Short Hair,none,False,False,Tabby (Orange / Red),none,none,unknown,unknown,True,True,False,110.01177083333332,Puyallup,38720.0
Young,Female,Medium,Short,7.5018,True,False,False,False,True,Domestic Short Hair,none,False,False,Black & White / Tuxedo,none,none,True,True,unknown,True,False,81.00318287037038,Puyallup,38720.0
Adult,Male,Medium,Short,6.84,True,True,False,False,True,Domestic Short Hair,Siamese,True,False,Cream / Ivory,Lilac Point,Tabby (Gray / Blue / Silver),True,True,False,True,False,13.586701388888885,Federal Way,92859.0
Young,Male,Medium,Short,6.84,True,True,False,True,True,Tabby,Domestic Short Hair,True,False,Tabby (Brown / Chocolate),none,none,True,unknown,True,True,True,3.953020833333333,Federal Way,92859.0
Baby,Female,Medium,Medium,6.84,True,True,False,False,True,Domestic Medium Hair,Tabby,True,False,Gray / Blue / Silver,Tabby (Gray / Blue / Silver),none,False,unknown,True,True,True,15.334953703703706,Federal Way,92859.0
Baby,Male,Medium,Short,6.84,True,True,False,False,True,Domestic Short Hair,none,True,False,Black,none,none,unknown,unknown,True,True,True,17.208344907407408,Federal Way,92859.0
Baby,Male,Medium,Short,6.84,True,True,False,False,True,Domestic Short Hair,Siamese,True,False,Buff & White,Chocolate Point,Seal Point,False,False,True,True,False,15.344027777777775,Federal Way,92859.0
Adult,Male,Extra Large,Long,7.5018,True,False,False,False,True,Domestic Long Hair,none,False,False,Tabby (Orange / Red),none,none,unknown,unknown,unknown,True,False,14.91394675925926,Puyallup,38720.0
Adult,Female,Medium,Short,7.5018,True,False,False,False,True,Domestic Short Hair,none,False,False,Black,none,none,unknown,unknown,unknown,True,False,14.919212962962966,Puyallup,38720.0
Young,Female,Small,Short,6.84,True,True,False,True,True,Domestic Short Hair,Russian Blue,True,False,Gray & White,Gray / Blue / Silver,White,True,True,True,True,False,74.6187037037037,Federal Way,92859.0
Young,Male,Medium,Short,6.84,True,True,False,False,True,Siamese,Domestic Short Hair,True,False,Brown / Chocolate,Buff / Tan / Fawn,Chocolate Point,True,unknown,True,True,True,10.823009259259257,Federal Way,92859.0
Adult,Male,Medium,Short,6.84,True,True,False,False,True,Domestic Short Hair,Tabby,True,False,Orange / Red,Tabby (Orange / Red),none,True,unknown,True,True,False,11.235289351851852,Federal Way,92859.0
Adult,Male,Medium,Long,7.5018,True,False,False,False,True,Domestic Long Hair,none,False,False,Gray & White,none,none,unknown,unknown,unknown,True,False,16.89625,Puyallup,38720.0
Young,Male,Medium,Long,7.5018,False,False,False,False,True,Domestic Long Hair,none,False,False,Gray & White,none,none,unknown,unknown,unknown,True,False,15.834513888888885,Puyallup,38720.0
Adult,Female,Medium,Short,7.5018,False,False,False,False,True,Domestic Short Hair,none,False,False,Gray & White,none,none,unknown,unknown,unknown,True,False,16.90533564814815,Puyallup,38720.0
Baby,Male,Medium,Short,6.84,True,True,False,False,True,Domestic Short Hair,none,True,False,Black,none,none,False,True,True,True,False,11.948148148148148,Federal Way,92859.0
Adult,Female,Medium,Long,7.5018,False,False,False,False,True,Domestic Long Hair,none,False,False,Tortoiseshell,none,none,unknown,unknown,unknown,True,False,34.59247685185185,Puyallup,38720.0
Adult,Female,Medium,Short,7.5018,False,False,False,False,True,Domestic Short Hair,none,False,False,Black,none,none,True,True,True,True,False,63.50222222222222,Puyallup,38720.0
Baby,Female,Medium,Short,7.5018,False,False,False,False,True,Domestic Short Hair,none,False,False,Tabby (Brown / Chocolate),White,none,unknown,unknown,unknown,True,False,3.906805555555556,Puyallup,38720.0
Baby,Male,Medium,Short,7.5018,False,False,False,False,True,Domestic Short Hair,none,False,False,Black & White / Tuxedo,none,none,unknown,unknown,unknown,True,False,29.494699074074074,Puyallup,38720.0
Adult,Female,Medium,Short,7.5018,False,False,False,False,True,Domestic Short Hair,none,False,False,Tortoiseshell,none,none,True,unknown,True,True,False,6.9405671296296285,Puyallup,38720.0
Adult,Male,Large,Long,7.5018,False,False,False,False,True,Domestic Long Hair,Maine Coon,True,False,Tabby (Brown / Chocolate),none,none,True,unknown,True,True,False,19.49922453703704,Puyallup,38720.0
Adult,Male,Small,Short,7.7232,False,False,False,False,False,American Shorthair,Tabby,True,False,Tabby (Brown / Chocolate),none,none,unknown,unknown,unknown,True,False,212.82417824074074,Des Moines,30715.0
Adult,Male,Medium,Short,7.7232,True,True,False,False,True,Domestic Short Hair,Tabby,True,False,Tabby (Brown / Chocolate),none,none,unknown,unknown,True,True,False,129.86229166666666,Des Moines,30715.0
Baby,Female,Medium,Short,7.5018,False,False,False,False,True,Domestic Short Hair,none,False,False,Tabby (Brown / Chocolate),none,none,unknown,unknown,unknown,True,False,8.287465277777779,Puyallup,38720.0
Baby,Male,Medium,Short,7.5018,False,False,False,False,True,Domestic Short Hair,none,False,False,Black & White / Tuxedo,none,none,unknown,unknown,unknown,True,False,7.082175925925926,Puyallup,38720.0
Baby,Female,Medium,Short,7.5018,False,False,False,False,True,Domestic Short Hair,none,False,False,Black & White / Tuxedo,none,none,unknown,unknown,unknown,True,False,5.243622685185184,Puyallup,38720.0
Young,Male,Medium,Short,7.5018,False,False,False,False,True,Domestic Short Hair,none,False,False,Black,none,none,unknown,True,unknown,True,False,3.4112615740740733,Puyallup,38720.0
Young,Male,Medium,Short,7.5018,False,False,False,False,True,Domestic Short Hair,none,False,False,Black,none,none,unknown,True,unknown,True,False,0.006574074074074074,Puyallup,38720.0
Adult,Male,Medium,Short,7.5018,True,False,False,False,True,Domestic Short Hair,none,False,False,Black,none,none,unknown,True,unknown,True,False,42.98231481481481,Puyallup,38720.0
Young,Female,Medium,Short,6.84,True,True,False,False,True,Domestic Short Hair,Tortoiseshell,True,False,Calico,Dilute Calico,Dilute Tortoiseshell,True,True,True,True,False,10.106655092592593,Federal Way,92859.0
Young,Female,Medium,Short,6.84,True,True,False,False,True,Domestic Short Hair,Tabby,True,False,Gray & White,Gray / Blue / Silver,Tabby (Gray / Blue / Silver),True,True,True,True,False,10.11011574074074,Federal Way,92859.0
Young,Male,Large,Short,6.84,True,True,False,False,True,Domestic Short Hair,Tabby,True,False,Brown / Chocolate,Tabby (Brown / Chocolate),White,True,True,True,True,False,10.116122685185186,Federal Way,92859.0
Baby,Male,Medium,Short,6.84,True,True,False,False,True,Domestic Short Hair,Russian Blue,True,False,unknown,none,none,unknown,True,True,True,False,1.6353356481481482,Federal Way,92859.0
Baby,Male,Medium,Short,6.84,True,True,False,False,True,Domestic Short Hair,Russian Blue,True,False,Gray / Blue / Silver,none,none,False,unknown,True,True,False,24.606296296296296,Federal Way,92859.0
Adult,Male,Medium,Short,6.84,True,True,False,False,True,Domestic Short Hair,Tabby,True,False,Orange / Red,Tabby (Orange / Red),none,unknown,unknown,True,True,False,117.98609953703705,Federal Way,92859.0
Adult,Male,Medium,Short,6.84,True,True,False,False,True,Domestic Short Hair,Russian Blue,True,False,Gray & White,Gray / Blue / Silver,White,True,unknown,True,True,False,23.827465277777772,Federal Way,92859.0
Adult,Male,Large,Short,6.84,True,True,False,False,True,Domestic Short Hair,Tabby,True,False,Orange / Red,Tabby (Orange / Red),none,True,True,True,True,False,17.01732638888889,Federal Way,92859.0
Adult,Female,Medium,Short,7.5018,False,False,False,False,True,Domestic Short Hair,none,False,False,Tabby (Brown / Chocolate),White,none,unknown,unknown,unknown,True,False,4.1813425925925936,Puyallup,38720.0
Baby,Female,Medium,Short,7.5018,False,False,False,False,True,Domestic Short Hair,none,False,False,Black,White,none,unknown,unknown,unknown,True,False,0.8545138888888889,Puyallup,38720.0
Baby,Female,Medium,Short,7.5018,False,False,False,False,True,Domestic Short Hair,none,False,False,White,none,none,unknown,unknown,unknown,True,False,16.91604166666667,Puyallup,38720.0
Adult,Male,Large,Short,6.84,True,True,False,False,True,Domestic Short Hair,Siamese,True,False,Seal Point,none,none,False,unknown,True,True,False,11.966851851851851,Federal Way,92859.0
Adult,Female,Medium,Short,6.84,True,True,False,False,True,Domestic Short Hair,Tabby,True,False,Brown / Chocolate,Tabby (Brown / Chocolate),White,False,unknown,True,True,False,4.223298611111111,Federal Way,92859.0
Young,Female,Medium,Short,6.84,True,True,False,False,True,Domestic Short Hair,Tabby,True,False,Brown / Chocolate,Tabby (Brown / Chocolate),none,unknown,unknown,True,True,False,14.953368055555556,Federal Way,92859.0
Adult,Male,Medium,Short,6.84,True,True,False,False,True,Domestic Short Hair,Russian Blue,True,False,Gray & White,Gray / Blue / Silver,White,False,unknown,True,True,False,14.961296296296293,Federal Way,92859.0
Young,Female,Medium,Long,6.84,True,True,False,False,True,Domestic Long Hair,Maine Coon,True,False,Brown / Chocolate,Tabby (Brown / Chocolate),none,False,False,True,True,False,15.026770833333336,Federal Way,92859.0
Young,Female,Medium,Long,6.84,True,True,False,False,True,Domestic Medium Hair,none,True,False,unknown,none,none,unknown,unknown,True,True,False,15.179351851851852,Federal Way,92859.0
Adult,Female,Medium,Medium,6.84,True,True,False,False,True,Domestic Medium Hair,Calico,True,False,Calico,none,none,True,unknown,True,True,False,15.182233796296293,Federal Way,92859.0
Adult,Female,Medium,Medium,7.5018,True,False,False,False,True,Domestic Medium Hair,none,False,False,Gray & White,Tabby (Gray / Blue / Silver),none,unknown,True,unknown,True,False,33.95390046296296,Puyallup,38720.0
Young,Male,Medium,Medium,7.5018,True,False,False,False,True,Domestic Medium Hair,none,False,False,Gray & White,none,none,unknown,unknown,unknown,True,False,33.95594907407408,Puyallup,38720.0
Adult,Female,Medium,Short,7.5018,False,False,False,False,True,Domestic Short Hair,Russian Blue,True,False,Gray / Blue / Silver,none,none,unknown,unknown,unknown,True,False,71.7788425925926,Puyallup,38720.0
Adult,Female,Medium,Medium,7.5018,False,False,False,False,True,Domestic Medium Hair,none,False,False,Black,none,none,unknown,True,True,True,False,65.63496527777778,Puyallup,38720.0
Adult,Male,Medium,Short,6.84,True,True,False,False,True,Domestic Short Hair,Tuxedo,True,False,Black,Black & White / Tuxedo,White,True,unknown,True,True,True,16.153530092592593,Federal Way,92859.0
Adult,Female,Medium,Short,6.84,True,True,False,False,True,Domestic Short Hair,Tuxedo,True,False,Black,Black & White / Tuxedo,White,False,unknown,True,True,False,115.85932870370372,Federal Way,92859.0
Adult,Male,Large,Short,6.84,True,True,False,False,True,Domestic Short Hair,Tabby,True,False,Brown / Chocolate,Tabby (Brown / Chocolate),none,True,unknown,True,True,True,22.16677083333333,Federal Way,92859.0
Young,Female,Medium,Short,6.84,True,True,False,False,True,Domestic Short Hair,Tabby,True,False,Orange / Red,Tabby (Orange / Red),none,True,True,True,True,False,22.18726851851852,Federal Way,92859.0
Adult,Female,Medium,Long,7.5018,False,False,False,False,True,Domestic Long Hair,none,False,False,Calico,none,none,True,unknown,True,True,False,15.294398148148147,Puyallup,38720.0
Young,Male,Medium,Short,7.5018,False,False,False,False,True,Domestic Short Hair,none,False,False,Tabby (Gray / Blue / Silver),White,none,unknown,unknown,True,True,False,16.269513888888888,Puyallup,38720.0
Young,Female,Medium,Short,7.5018,False,False,False,False,True,Domestic Short Hair,none,False,False,Gray & White,none,none,unknown,unknown,True,True,False,29.290821759259263,Puyallup,38720.0
Adult,Female,Small,Short,7.5018,True,False,False,False,True,Domestic Short Hair,none,False,False,Tortoiseshell,none,none,unknown,unknown,unknown,True,False,15.79542824074074,Puyallup,38720.0
Young,Female,Small,Short,7.5018,False,False,False,False,True,Domestic Short Hair,none,False,False,Tabby (Gray / Blue / Silver),none,none,unknown,unknown,unknown,True,False,27.873946759259262,Puyallup,38720.0
Young,Female,Medium,Short,6.84,True,True,False,False,True,Siamese,none,True,False,Brown / Chocolate,Chocolate Point,Seal Point,False,unknown,True,True,False,20.066168981481482,Federal Way,92859.0
Baby,Female,Medium,Short,6.84,True,True,False,False,True,Domestic Short Hair,none,True,False,Black,none,none,True,True,True,True,False,10.785046296296295,Federal Way,92859.0
Baby,Female,Medium,Short,6.84,True,True,False,False,True,Domestic Short Hair,Tabby,True,False,Brown / Chocolate,Tabby (Brown / Chocolate),none,True,True,True,True,False,10.787627314814815,Federal Way,92859.0
Adult,Female,Medium,Short,6.84,True,True,False,False,True,Siamese,Domestic Short Hair,True,False,Blue Cream,Cream / Ivory,none,False,unknown,True,True,True,12.096342592592592,Federal Way,92859.0
Young,Male,Large,Medium,6.84,True,True,False,False,True,Extra-Toes Cat / Hemingway Polydactyl,Domestic Medium Hair,True,False,Black,Black & White / Tuxedo,White,True,True,True,True,False,4.081458333333333,Federal Way,92859.0
Young,Male,Large,Short,6.84,True,True,False,False,True,Extra-Toes Cat / Hemingway Polydactyl,Domestic Short Hair,True,False,Black,none,none,True,True,True,True,False,6.810902777777778,Federal Way,92859.0
Adult,Female,Medium,Short,7.5018,False,False,False,False,True,Domestic Short Hair,none,False,False,Black,none,none,False,True,True,True,False,69.66752314814815,Puyallup,38720.0
Young,Male,Large,Short,6.84,True,True,False,False,True,Domestic Short Hair,Tabby,True,False,Orange & White,Tabby (Orange / Red),White,False,unknown,True,True,True,18.316898148148148,Federal Way,92859.0
Adult,Male,Medium,Short,7.5018,True,False,False,False,True,Domestic Short Hair,none,False,False,Black & White / Tuxedo,none,none,unknown,True,unknown,True,False,11.729826388888887,Puyallup,38720.0
Adult,Male,Medium,Short,7.5018,True,False,False,False,False,Domestic Short Hair,none,False,False,Gray & White,none,none,unknown,True,unknown,True,False,11.732106481481482,Puyallup,38720.0
Adult,Female,Medium,Short,7.5018,False,False,False,False,True,Domestic Short Hair,none,False,False,Brown / Chocolate,Torbie,none,unknown,True,True,True,False,8.01679398148148,Puyallup,38720.0
Adult,Male,Medium,Short,7.5018,True,False,True,False,True,Domestic Short Hair,none,False,False,Tabby (Orange / Red),none,none,unknown,unknown,True,True,False,8.019895833333333,Puyallup,38720.0
Adult,Female,Medium,Short,7.5018,False,False,False,False,True,Domestic Short Hair,none,False,False,Black,none,none,unknown,True,True,True,False,7.369340277777778,Puyallup,38720.0
Baby,Male,Medium,Short,6.84,True,True,False,False,True,Domestic Short Hair,none,True,False,Black,Black & White / Tuxedo,White,False,True,True,True,False,22.08377314814815,Federal Way,92859.0
Baby,Female,Small,Short,7.2858,True,True,False,False,True,Domestic Short Hair,none,False,False,Calico,Torbie,White,True,True,unknown,True,False,8.636608796296295,Puyallup,38720.0
Adult,Female,Large,Short,7.2858,True,True,False,False,True,Domestic Short Hair,none,False,False,Tortoiseshell,none,none,True,False,True,True,False,4.85212962962963,Puyallup,38720.0
Adult,Male,Medium,Short,7.2858,True,True,False,False,True,Domestic Short Hair,none,False,False,unknown,none,none,True,unknown,unknown,True,False,35.830613425925925,Puyallup,38720.0
Young,Male,Medium,Short,7.2858,True,True,False,False,True,Domestic Short Hair,none,False,False,Black,none,none,unknown,True,True,True,False,11.859618055555556,Puyallup,38720.0
Young,Male,Medium,Short,7.2858,True,True,False,False,True,Domestic Short Hair,none,False,False,Black & White / Tuxedo,none,none,unknown,True,True,True,False,11.865347222222226,Puyallup,38720.0
Adult,Female,Medium,Short,7.2858,True,True,False,False,True,Domestic Short Hair,none,False,False,Tabby (Brown / Chocolate),White,none,unknown,True,True,True,False,5.062916666666666,Puyallup,38720.0
Adult,Female,Medium,Short,7.2858,True,True,False,False,True,Domestic Short Hair,none,False,False,Tabby (Tiger Striped),White,none,True,True,True,True,False,37.19665509259259,Puyallup,38720.0
Baby,Female,Small,Short,7.2858,True,True,False,False,True,Domestic Short Hair,none,False,False,Gray / Blue / Silver,White,none,False,unknown,True,True,False,68.2009375,Puyallup,38720.0
Baby,Female,Medium,Short,7.2858,True,True,False,False,True,Domestic Short Hair,none,False,False,Black & White / Tuxedo,none,none,False,True,True,True,False,4.887361111111111,Puyallup,38720.0
Baby,Female,Medium,Long,7.2858,True,True,False,False,True,Domestic Long Hair,none,True,False,unknown,none,none,False,True,True,True,False,46.870995370370366,Puyallup,38720.0
Baby,Male,Medium,Short,7.2858,True,True,False,False,True,Domestic Short Hair,none,False,False,Black & White / Tuxedo,none,none,False,True,True,True,False,4.896180555555556,Puyallup,38720.0
Baby,Female,Medium,Short,6.8602,False,True,False,False,True,Domestic Short Hair,none,True,False,unknown,none,none,unknown,unknown,unknown,True,False,16.0759375,Tacoma,203481.0
Senior,Female,Medium,Short,7.2858,True,True,False,False,True,Domestic Short Hair,none,False,False,Tabby (Tiger Striped),none,none,unknown,unknown,unknown,True,False,62.84452546296296,Puyallup,38720.0
Adult,Female,Medium,Short,7.2858,True,True,False,False,True,Domestic Short Hair,none,False,False,Black & White / Tuxedo,none,none,False,True,False,True,False,39.82883101851852,Puyallup,38720.0
Baby,Female,Medium,Short,7.2858,True,True,False,False,True,Domestic Short Hair,none,False,False,Gray & White,none,none,unknown,unknown,True,False,False,8.966550925925926,Puyallup,38720.0
Adult,Male,Large,unknown,7.2858,True,True,False,False,True,Domestic Short Hair,none,False,False,Orange / Red,none,none,False,unknown,True,True,False,75.64829861111113,Puyallup,38720.0
Adult,Male,Large,Long,7.2858,True,True,False,False,True,Domestic Long Hair,none,False,False,Gray / Blue / Silver,none,none,True,unknown,unknown,True,False,166.7537268518519,Puyallup,38720.0
Baby,Male,Medium,Medium,7.2858,True,True,False,False,True,Domestic Medium Hair,none,False,False,Black,White,none,True,True,True,True,False,2.117743055555556,Puyallup,38720.0
Baby,Female,Medium,Short,7.2858,True,True,False,False,True,Domestic Short Hair,none,False,False,Black,White,none,False,True,True,True,False,2.1185995370370367,Puyallup,38720.0
Baby,Female,Medium,Short,7.2858,True,True,False,False,True,Domestic Short Hair,none,False,False,Black,White,none,True,True,True,True,False,2.1197916666666665,Puyallup,38720.0
Baby,Male,Medium,Short,7.2858,True,True,False,False,True,Domestic Short Hair,none,False,False,Tabby (Tiger Striped),White,none,True,True,True,True,False,2.1209953703703706,Puyallup,38720.0
Young,Female,Small,Short,7.2858,True,True,False,False,True,Domestic Short Hair,none,False,False,Black,none,none,unknown,unknown,unknown,True,False,9.960162037037037,Puyallup,38720.0
Adult,Male,Medium,Short,0.8187,True,True,True,False,False,Domestic Short Hair,none,False,False,Gray & White,none,none,True,unknown,unknown,True,False,8.108125,Maple Valley,24682.0
Young,Male,Large,Medium,8.6797,True,True,False,False,True,Domestic Medium Hair,none,False,False,Orange / Red,none,none,False,unknown,True,True,False,7.277395833333332,Seattle,653017.0
Adult,Male,Medium,unknown,3.9301,True,True,False,False,True,Domestic Short Hair,none,True,False,Tabby (Brown / Chocolate),White,none,unknown,unknown,True,True,False,3.1147800925925933,Kirkland,84721.0
Adult,Male,Medium,unknown,3.9301,True,True,False,False,True,Domestic Short Hair,none,True,False,Tabby (Brown / Chocolate),White,none,unknown,unknown,True,True,False,3.1172685185185185,Kirkland,84721.0
Young,Female,Medium,unknown,3.9301,True,True,False,False,True,Domestic Short Hair,none,False,False,Black,none,none,False,unknown,True,True,False,21.058078703703703,Kirkland,84721.0
Adult,Male,Medium,unknown,3.9301,True,True,False,False,True,Domestic Short Hair,none,True,False,Tabby (Orange / Red),none,none,unknown,unknown,False,True,False,10.06394675925926,Kirkland,84721.0
Adult,Male,Medium,unknown,3.9301,True,True,False,False,True,Domestic Short Hair,none,True,False,Tabby (Brown / Chocolate),none,none,True,unknown,True,True,False,10.073055555555557,Kirkland,84721.0
Adult,Male,Medium,unknown,3.9301,True,True,False,False,True,Domestic Short Hair,none,True,False,Tabby (Brown / Chocolate),none,none,False,unknown,True,True,False,71.31381944444446,Kirkland,84721.0
Adult,Male,Medium,unknown,3.9301,True,True,False,False,True,Domestic Short Hair,none,True,False,Tabby (Orange / Red),White,none,True,False,True,True,False,12.972743055555556,Kirkland,84721.0
Adult,Female,Medium,unknown,3.9301,True,True,False,True,True,Domestic Short Hair,none,True,False,White,Gray & White,Gray / Blue / Silver,True,unknown,unknown,True,False,38.863182870370366,Kirkland,84721.0
Young,Female,Large,Long,5.7094,True,True,False,False,True,Domestic Long Hair,none,False,False,Gray / Blue / Silver,none,none,unknown,unknown,unknown,True,False,12.060810185185185,Bothell,41207.0
Adult,Male,Medium,unknown,3.9301,True,True,False,False,True,Domestic Short Hair,none,True,False,Tabby (Brown / Chocolate),none,none,False,unknown,True,True,False,6.895347222222222,Kirkland,84721.0
Senior,Male,Medium,Short,5.7094,True,True,False,False,True,Tonkinese,none,False,False,unknown,none,none,unknown,unknown,True,True,False,27.957569444444445,Bothell,41207.0
Senior,Male,Medium,Short,5.7094,True,True,False,False,True,Siamese,none,False,False,Blue Cream,none,none,unknown,unknown,True,True,False,27.960914351851848,Bothell,41207.0
Adult,Male,Medium,Short,7.2669,True,True,False,False,True,Siamese,none,False,False,Gray / Blue / Silver,none,none,unknown,True,True,True,False,36.16325231481481,Redmond,57959.0
Adult,Female,Medium,Long,7.2669,True,True,False,False,True,Persian,none,False,False,Smoke,none,none,unknown,unknown,unknown,True,False,4.199953703703704,Redmond,57959.0
Baby,Male,Medium,Short,8.6797,True,True,False,False,True,Domestic Short Hair,none,True,False,unknown,none,none,False,unknown,True,True,False,7.189872685185184,Seattle,653017.0
Adult,Female,Medium,unknown,3.9301,True,True,False,False,True,Domestic Short Hair,none,True,False,Dilute Calico,none,none,False,unknown,True,True,False,34.810196759259256,Kirkland,84721.0
Adult,Male,Medium,unknown,3.9301,True,True,False,False,True,Domestic Short Hair,none,True,False,Tabby (Buff / Tan / Fawn),none,none,False,False,True,True,False,72.03818287037036,Kirkland,84721.0
Adult,Male,Large,unknown,3.9301,True,True,False,False,True,Domestic Short Hair,none,True,False,Tabby (Brown / Chocolate),none,none,False,False,False,True,False,64.87138888888889,Kirkland,84721.0
Young,Female,Medium,Long,6.9513,True,True,False,False,True,Domestic Long Hair,Torbie,True,False,Torbie,none,none,unknown,unknown,True,True,False,99.63162037037036,Seattle,653017.0
Young,Male,Medium,Short,5.7094,True,True,False,False,True,Domestic Short Hair,none,False,False,White,none,none,unknown,unknown,unknown,True,False,8.770625,Bothell,41207.0
Senior,Female,Large,Long,5.7094,True,True,False,True,True,Domestic Long Hair,none,False,False,Flame Point,none,none,True,unknown,unknown,True,False,124.89015046296295,Bothell,41207.0
Adult,Female,Large,Short,5.7094,True,True,False,True,True,Domestic Short Hair,none,False,False,Dilute Tortoiseshell,none,none,True,unknown,unknown,True,False,9.757719907407408,Bothell,41207.0
Adult,Male,Large,Long,7.2669,True,True,True,False,True,Himalayan,none,False,False,Seal Point,none,none,unknown,unknown,True,True,False,75.29180555555557,Redmond,57959.0
Adult,Female,Medium,Short,5.7094,False,False,False,False,False,Domestic Short Hair,none,True,False,Dilute Tortoiseshell,none,none,unknown,unknown,unknown,True,False,11.075277777777776,Bothell,41207.0
Young,Female,Medium,unknown,6.9513,True,True,False,False,True,Domestic Long Hair,none,False,False,Gray & White,none,none,True,unknown,True,True,False,112.61214120370371,Seattle,653017.0
Adult,Male,Medium,unknown,3.9301,True,True,False,False,True,Domestic Medium Hair,none,True,False,Tabby (Orange / Red),none,none,unknown,unknown,unknown,True,False,3.0709490740740732,Kirkland,84721.0
Adult,Female,Medium,unknown,3.9301,True,True,False,False,True,Domestic Short Hair,none,True,False,Black & White / Tuxedo,none,none,unknown,unknown,unknown,False,False,3.0741203703703706,Kirkland,84721.0
Adult,Male,Large,unknown,3.9301,True,True,False,False,True,Domestic Short Hair,none,True,False,Tabby (Brown / Chocolate),none,none,unknown,unknown,unknown,True,False,3.0770717592592587,Kirkland,84721.0
Adult,Male,Extra Large,unknown,3.9301,True,True,False,False,True,Domestic Short Hair,none,True,False,Tabby (Brown / Chocolate),none,none,unknown,unknown,unknown,True,False,10.041134259259259,Kirkland,84721.0
Adult,Male,Large,Short,5.7094,False,True,False,False,True,Domestic Short Hair,none,False,False,Tabby (Brown / Chocolate),none,none,True,unknown,True,True,False,9.741493055555557,Bothell,41207.0
Adult,Female,Medium,Short,8.6797,True,True,False,False,True,Domestic Short Hair,Calico,True,False,Calico,none,none,True,unknown,unknown,True,False,27.82892361111111,Seattle,653017.0
Baby,Female,Medium,Short,7.2669,True,True,False,False,True,Domestic Short Hair,none,False,False,Black & White / Tuxedo,none,none,True,unknown,True,True,False,0.8257986111111111,Redmond,57959.0
Baby,Female,Medium,Short,7.2669,True,True,False,False,True,Domestic Short Hair,none,False,False,Dilute Calico,none,none,True,True,True,True,False,5.783298611111111,Redmond,57959.0
Adult,Female,Large,Short,5.7094,True,True,False,False,True,Calico,none,False,False,Dilute Calico,none,none,unknown,False,True,True,False,58.773483796296304,Bothell,41207.0
Baby,Female,Small,Short,5.7094,True,True,False,False,True,Domestic Short Hair,none,False,False,Dilute Calico,Tabby (Tiger Striped),none,True,unknown,True,True,False,12.75144675925926,Bothell,41207.0
Senior,Female,Medium,unknown,3.9301,True,True,False,False,True,Domestic Short Hair,none,True,False,Black,none,none,False,False,False,True,False,13.985462962962966,Kirkland,84721.0
Adult,Male,Large,Short,7.2669,True,True,False,False,True,Siamese,none,False,False,Gray & White,none,none,unknown,unknown,unknown,True,False,30.07842592592593,Redmond,57959.0
Senior,Female,Medium,unknown,3.9301,True,True,False,False,True,Domestic Short Hair,none,True,False,Tabby (Brown / Chocolate),White,none,False,False,False,True,False,16.8984375,Kirkland,84721.0
Baby,Female,Medium,Short,7.2669,True,True,False,False,True,Domestic Short Hair,none,False,False,Gray & White,none,none,unknown,unknown,unknown,True,False,0.9832407407407407,Redmond,57959.0
Adult,Female,Medium,unknown,3.9301,True,True,False,False,True,Domestic Short Hair,none,True,False,Tabby (Brown / Chocolate),White,none,True,unknown,unknown,True,False,162.8787615740741,Kirkland,84721.0
Adult,Female,Medium,unknown,3.9301,True,True,False,False,True,Domestic Short Hair,none,True,False,Black,none,none,True,unknown,True,True,False,29.70414351851852,Kirkland,84721.0
Adult,Male,Large,Short,5.7094,True,True,False,False,True,Domestic Short Hair,none,False,False,Gray & White,none,none,unknown,unknown,True,True,False,73.96447916666666,Bothell,41207.0
Young,Female,Medium,Short,8.6797,True,True,False,False,True,Domestic Short Hair,none,False,False,Black & White / Tuxedo,none,none,False,unknown,True,True,False,21.324745370370373,Seattle,653017.0
Adult,Female,Medium,Long,7.2669,True,True,False,False,True,Scottish Fold,none,False,False,Lilac Point,none,none,False,False,False,True,False,26.02418981481481,Redmond,57959.0
Young,Female,Medium,unknown,3.9301,True,True,False,False,True,Domestic Short Hair,none,True,False,Black & White / Tuxedo,none,none,True,True,True,False,False,1.9930671296296296,Kirkland,84721.0
Young,Female,Medium,unknown,3.9301,True,True,False,False,True,Domestic Short Hair,none,True,False,Black & White / Tuxedo,none,none,True,True,True,False,False,1.9949189814814812,Kirkland,84721.0
Baby,Female,Small,Short,5.7094,True,True,False,False,True,Domestic Short Hair,none,False,False,unknown,none,none,unknown,unknown,unknown,True,False,11.812314814814815,Bothell,41207.0
Baby,Male,Small,Short,5.7094,True,True,False,False,True,Domestic Short Hair,none,False,False,Orange & White,none,none,unknown,unknown,unknown,True,False,11.952835648148149,Bothell,41207.0
